facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Thomas Home Heatlh,Alabama,"7530 PARKER ROAD, SUITE 200",Fairhope,36532,251-625-1520,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health of Fayette,Alabama,1616 Temple Avenue North,Fayette,35555,205-932-5066,Services: Home Care
Fayette County Department of Human Resources,Alabama,PO Box 489,Fayette,35555,205-932-5961,""
Fayette County Home Health,Alabama,"204 South Temple Avenue, PO Box 351",Fayette,35555,205-932-3963,""
Fayette Medical Center Homecare,Alabama,1653 Temple Avenue,Fayette,35555,205-932-5961,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alacare Home Health and Hospice,Alabama,"1819 Pepperell Parkway, Suite 201",Opelika,36801,334-741-9952,""
Amedisys Home Health Of Opelika,Alabama,"3320 SKYWAY DRIVE, SUITE 804",Opelika,36801,334-887-7234,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lee County Department of Human Resources,Alabama,1715 Corporate Drive,Opelika,36801,205-749-8164,""
Lee County Health Department,Alabama,1801 Corporate Drive,Opelika,36801,334-727-5293,""
Southern Home Health Services,Alabama,"30 Samford Avenue, Unit 36-D",Opelika,36801,334-745-7966,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Care Services of Opp,Alabama,1800 US Highway 84 West,Opp,36467,334-493-4555,""
Lhc Homecare Of South Alabama,Alabama,"1802 US HIGHWAY 84 WEST, SUITE A",Opp,36467,334-493-2087,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Mizell Memorial Home Health,Alabama,"702 North Main Street, PO Box 1010",Opp,36467,334-493-2087,""
Divine Help In Home Care,Alabama,PO Box 7205,Oxford,36203,256-499-1637,Services: Private Duty Home Care and Home Care
Hospice Complete-Anniston,Alabama,"318 Snow Street, Suite C",Oxford,36203,256-403-6800,""
Community Hospice of Dale Medical Center,Alabama,368 James Street,Ozark,36360,334-774-1380,""
Dale County Department of Human Resources,Alabama,513 Carroll Dhr,Ozark,36360,205-774-5135,""
Dale County Health Department,Alabama,PO Box 1207,Ozark,36361,205-774-5146,""
Dale Medical Center Home Health,Alabama,126 Hospital Avenue,Ozark,36360,334-774-0750,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Dale Medical Center Home Health,Alabama,100 Hospital Avenue,Ozark,36360,334-774-0750,""
Comfort Care,Alabama,"245 Cahaba Valley Parkway, Suite 200",Pelham,35124,205-942-6820,""
Lincare,Alabama,283-A Cahaba Valley Parkway N.,Pelham,35124,205-402-7300,""
Preferred Care At Home Of Greater Birmingham,Alabama,3590-B Hwy 31 South Suite #230,Pelham,35124,205-621-2002,"Services: Hospice, Private Duty Home Care, Home Care, Home Health Aid, and Nursing Care"
Alacare Home Health and Hospice,Alabama,1240 Martin Street South,Pell City,35125,205-338-3250,""
Gentiva Health Services,Alabama,3319 Dr John Haynes Drive Suite 4,Pell City,35125,205-338-8440,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lakeside Hospice,Alabama,"3440 Martin Street, South, PO Box 544",Pell City,35125,205-884-1111,""
Saint Clair County Health Department,Alabama,"1175 19th Street North, PO Box 627",Pell City,35125,205-338-3357,""
Saint Clair Regional Home Health,Alabama,2805 Dr. John Haynes Drive,Pell City,35125,205-884-7202,""
St Vincents Home Health Of St Clair County,Alabama,"2401 Stemley Bridge Road, Suite 7",Pell City,35128,205-884-7202,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
A Caring Hand Home Care Inc,Alabama,1901 Stadium Drive Suite B,Phenix City,36867,334-384-5262,"Services: Hospice, Private Duty Home Care, Home Care, and Home Health Aid"
Gentiva Health Services,Alabama,"5009 River Chase Drive, Bldg 100, Suite D",Phenix City,36867,334-297-6900,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Russell County Home Care,Alabama,1850 Crawford Road,Phenix City,36868,334-298-5581,"Services: Home Health Aid, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
VistaCare of Alabama,Alabama,3615C Railroad Street,Phenix City,36867,334-298-8898,""
Columbus Hospice of Alabama,Alabama,1521 Fifth Avenue,Phoenix City,36867,334-664-0075,""
Gentiva Health Services,Alabama,"11123 Chantilly Parkway, Unit L",Pike Road,36064,334-270-1151,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Quality CareGivers,Alabama,5286 Bridle Path Lane,Pinson,35126,205-520-9778,""
Autauga County Home Care,Alabama,219 North Court Street,Prattville,36067,334-361-3753,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Gentiva Health Services,Alabama,1988 HIGHWAY 14 EAST,Prattville,36066,334-361-9806,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health,Alabama,115 West Grand Avenue,Rainbow City,35906,256-543-1066,Services: Home Care
Gentiva Health Services,Alabama,"3225 RAINBOW STREET, SUITE 256",Rainbow City,35906,256-442-1138,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Healing Hearts Home Care,Alabama,1250 Sunset Drive,Rainbow City,35901,256-295-2037,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Lawley Premier Hospice Care,Alabama,101 Church St.,Rainbow City,35906,256-467-3568,"Services: Home Health Aid, Hospice, Medical Social, and Nursing Care"
Mid South Home Health,Alabama,"3225 Rainbow Drive, Suite 256",Rainbow City,35906,888-533-4663,""
ABC Plus,Alabama,"266 Industrial Drive, PO Box 1457",Rainsville,35986,256-638-2193,""
Alabama Prescription Service,Alabama,PO Box 629,Rainsville,35986,"",""
Alacare Home Health and Hospice,Alabama,"98 McCurdy Avenue South, PO Box 728",Rainsville,35986,256-638-7957,""
Northeast Community College,Alabama,PO Box 159,Rainsville,35986,256-228-6001,""
Keller Home Care,Alabama,116 4TH AVENUE SE,Red Bay,35582,256-356-8160,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health Of Reform,Alabama,420 First Avenue West,Reform,35481,205-375-9255,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Randolph County Home Care,Alabama,320 Main Street,Roanoke,36274,334-863-8983,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Baldwin County Department of Human Resources,Alabama,"23280 Gilbert Drive, P.O. Box 369",Robertsdale,36567,205-937-2551,""
Coosa County Department of Human Resources,Alabama,PO Box 36,Rockford,35136,256-377-4910,""
Franklin County Department of Human Resources,Alabama,"East Limestone Street, PO Box 100",Russellville,35653,256-332-2032,""
Northwest Home Health,Alabama,"711 Hospital Drive, Ne",Russellville,35653,256-331-0006,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Southern Rural Health Care,Alabama,508 St Clair Street Se,Russellville,35653,256-332-1631,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Compassionate Hands Hospice,Alabama,508 Ausley Road,Samson,36477,334-684-8828,""
Coastal Hospice,Alabama,90 McKeough Avenue,Saraland,36571,251-675-0012,""
Infirmary HomeCare of Saraland,Alabama,1129A Highway 43 South,Saraland,36571,251-679-9376,""
Alacare Home Health and Hospice,Alabama,19855 John T. Reid Parkway,Scottsboro,35768,256-259-1325,""
Department of Human Resources,Alabama,205 Liberty Lane,Scottsboro,35769,256-574-0300,""
Highlands Home Health,Alabama,309 Parks Avenue,Scottsboro,35768,256-259-4840,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Jackson County Home Care,Alabama,204 Liberty Lane,Scottsboro,35769,256-259-3694,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
New Beacon of Scottsboro Hospice,Alabama,"112 College Street, PO Box 981",Scottsboro,35768,256-574-4622,""
Amedisys Home Health Of Selma,Alabama,108 Executive Park Lane,Selma,36701,334-875-2550,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
AseraCare Hospice,Alabama,"1013 Medical Center Parkway, Suite 103",Selma,36701,877-299-3219,""
Cahaba Hospice,Alabama,"410 Church Street, Suite B",Selma,36701,334-418-0566,""
Dallas County Department of Human Resources,Alabama,PO Box 366,Selma,36702,205-874-1400,""
Dallas County Home Care,Alabama,100 Samuel O. Mosley Dr,Selma,36701,334-872-2323,"Services: Home Health Aid, Medical Social, Medicare, and Nursing Care"
Gentiva Health Services,Alabama,200 Central Park Place,Selma,36701,334-872-6637,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Vaughn Home Care Services,Alabama,1050 West Dallas Avenue,Selma,36701,334-872-6637,""
Northwest Alabama Regional Home Care Agency,Alabama,1000 South Jackson Highway,Sheffield,35660,256-383-1234,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Heart to Heart Hospice,Alabama,115A Highway 12 West,Starkville,39759,256-356-8888,""
American HomeCare Hospice,Alabama,34898 US Highway 280,Sylacauga,35151,256-245-9212,""
Coosa Valley Homecare,Alabama,"209 West Spring Street, Suit 305",Sylacauga,35150,256-208-0087,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gentiva Health Services,Alabama,1025 Fort Williams,Sylacauga,35150,256-249-4363,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gentiva Health Services,Alabama,1025 West Fort Williams Street,Sylacauga,35150,256-249-4363,""
SouthernCare Alexander City,Alabama,220 East 3rd Street,Sylacauga,35010,256-234-5565,""
Talladega County Home Care Agency,Alabama,311 North Elm Avenue,Sylacauga,35150,256-249-4893,"Services: Home Health Aid, Medicare, and Nursing Care"
Baptist Citizens Home Health Care,Alabama,604 Stone Avenue,Talladega,35160,256-362-8111,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Comfort Care Hospice of Talladega,Alabama,"702 East Battle Street, Suite C",Talladega,35160,256-761-1250,""
Talladega County Department of Human Resources,Alabama,PO Drawer 539,Talladega,35161,256-761-6600,""
Community Home Care,Alabama,1526 Gilmer Avenue,Tallassee,36078,334-283-6541,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Community Hospice Care,Alabama,805 Friendship Road,Tallassee,36078,334-283-3723,""
Calhoun Community College,Alabama,6250 US Hwy 31,Tanner,35671,256-306-2950,""
Home Works,Arizona,PO Box 975,Cornville,86325,602-634-1444,""
Amedisys Home Health of Thomas,Alabama,"8 West Front St., Suite A",Thomasville,36784,334-636-1344,Services: Home Care
Alacare Home Health And Hospice,Alabama,824 HIGHWAY 231 SOUTH,Troy,36081,334-566-9238,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Care Services of Troy,Alabama,"1305 South Brundidge Street, Suite F",Troy,36081,334-670-6620,""
Lighthouse Hospice of Alabama,Alabama,PO Box 965,Troy,36081,334-566-4357,""
Pike County Home Care,Alabama,900 South Franklin Drive,Troy,36081,334-566-8002,"Services: Home Health Aid, Medical Social, Nursing Care, and Physical Therapy"
Troy Regional Med. Center. Home Health Agency,Alabama,1330 Highway 231,Troy,36081,334-670-5257,""
Troy Regional Medical Center Home Health,Alabama,798 HIGHWAY 231 SOUTH,Troy,36081,334-403-4520,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alabama Regional Hospice Care,Alabama,410 Main Street,Trussville,35173,205-655-0753,""
Amedisys Home Health,Alabama,"4735 NORREL DRIVE, SUITE 125",Trussville,35173,205-655-3707,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health Of Tuscaloosa,Alabama,"1300 Mcfarland Boulevard Northeast, Suite 320",Tuscaloosa,35406,205-752-0606,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
AseraCare Hospice,Alabama,"971 Fairfax Parkway, Suite G",Tuscaloosa,35406,877-491-9678,""
Caring Hands Hospice,Alabama,4930 Rice Mine Road NE Suite 103,Tuscaloosa,35406,205-349-3065,Services: Hospice
Community Home Health,Alabama,515 Hargrove Road East,Tuscaloosa,35401,205-343-9373,""
Dch Home Health Care Agency,Alabama,1401 Greensboro Avenue,Tuscaloosa,35401,205-759-7010,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Hospice of West Alabama,Alabama,3851 Loop Road,Tuscaloosa,35404,205-345-0067,""
Tuscaloosa County Home Care,Alabama,2350 Hargrove Road East,Tuscaloosa,35405,205-554-4520,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Northwest Regional Home Health,Alabama,"100 Jackson Highway, PO Box 929",Tuscumbia,35674,256-383-1234,""
Associates Home Health Services,Alabama,102 West Conecuh Ave,Union Springs,36089,334-738-4155,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Bullock County Department of Human Resources,Alabama,201 North Powell Street,Union Springs,36089,334-738-2740,""
Bullock County Health Department,Alabama,103 Conecuh Avenue,Union Springs,36089,334-738-3030,""
Home Helpers,Alabama,PO Box 1332,Union Town,36786,334-628-9008,""
CareSouth - Valley Division,Alabama,"2002 35th Street, Suite D",Valley,36854,866-390-7507,Services: Home Care
Chattahoochee Hospice,Alabama,#6 Medical Park North,Valley,36854,334-756-8043,""
Eamc - Lanier Home Health,Alabama,1806 44TH ST.,Valley,36854,334-756-1950,"Services: Home Care, Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Encompass Home Health Of Alabama,Alabama,"2002 35TH STREET, SUITE D",Valley,36854,334-756-6225,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Community Home Health,Alabama,PO Box 123,Vance,35490,205-562-9615,""
Cv Home Health Services,Alabama,17035 HWY 11 NORTH,Vance,35490,205-562-9615,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Emergystat,Alabama,PO Box 1497,Vernon,35592,205-695-9800,""
Lamar County Department of Human Resources,Alabama,PO Box 489,Vernon,35592,205-695-7166,""
Lamar County Home Care,Alabama,"300 Springfield Road, PO Box 548",Vernon,36692,205-695-6916,""
Lamar County Home Care,Alabama,300 Springfield Road,Vernon,35592,205-695-6916,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, and Physical Therapy"
Lamar Home Care,Alabama,"131 1st Avenue Nw, Suite B",Vernon,35592,205-695-6736,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Lamar Homecare,Alabama,PO Box 547,Vernon,35592,205-695-6736,""
Griswold Home Care,Alabama,1008 Montgomery Hwy,Vestavia,35216,205-623-5700,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Home Instead Senior Care,Alabama,2059 Columbiana Road,Vestavia,35216,205-822-1915,""
Alabama Homecare,Alabama,"100 Centerview Drive, Suite 260",Vestavia Hills,35216,205-979-3180,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Interim HealthCare,Alabama,4244 Cahaba Heights Ct.,Vestavia Hills,35243,205-298-6605,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, and Nursing Care"
Wedowee Hospital Home Health,Alabama,"108 Medical Arts Building, Woodland Avenue, PO Box 307",Wedowee,36278,205-357-4155,""
Comfort Care Hospice of Wetumpka,Alabama,629 Coosa River Parkway,Wetumpka,36092,334-514-0244,""
Elmore Community Action Committee,Alabama,PO Drawer 967,Wetumpka,36092,205-567-4361,""
Elmore County Health Department,Alabama,6501 US Highway 231,Wetumpka,36082,334-567-1171,""
